Airline,City,Status,Count
ALASKA,Los Angeles,on time,497
ALASKA,Los Angeles,delayed,62
ALASKA,Phoenix,on time,221
ALASKA,Phoenix,delayed,12
ALASKA,San Diego,on time,212
ALASKA,San Diego,delayed,20
ALASKA,San Franciso,on time,503
ALASKA,San Franciso,delayed,102
ALASKA,Seattle,on time,1841
ALASKA,Seattle,delayed,305
AM West,Los Angeles,on time,694
AM West,Los Angeles,delayed,117
AM West,Phoenix,on time,4840
AM West,Phoenix,delayed,415
AM West,San Diego,on time,383
AM West,San Diego,delayed,65
AM West,San Franciso,on time,320
AM West,San Franciso,delayed,129
AM West,Seattle,on time,201
AM West,Seattle,delayed,61
